Assists,AthleteID,Athlete_Name,Away,ClubID,Difficult_Saves,Fouls_Conceded,Fouls_Received,Game_Without_Being_Scored,Goals,Goals_Conceded,Missed_Passes,Missed_Penalty,Offsides,Opponent_Team,Own_Goals,Participated,Penalty_Saves,Points,Points_avg,PositionID,Price,Price_Variation,Red_Card,Round,Season,Shot_Missed,Shot_Saved,Shot_on_Post,Stolen_Balls,Team,Yellow_Card,opponentID,avg_Assists,avg_Difficult_Saves,avg_Fouls_Conceded,avg_Fouls_Received,avg_Game_Without_Being_Scored,avg_Goals,avg_Goals_Conceded,avg_Missed_Passes,avg_Missed_Penalty,avg_Offsides,avg_Own_Goals,avg_Penalty_Saves,avg_Points,avg_Price,avg_Red_Card,avg_Shot_Missed,avg_Shot_Saved,avg_Shot_on_Post,avg_Stolen_Balls,avg_Yellow_Card
0.0,88323,Ángel Romero,1,264.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,Cruzeiro,0.0,True,0.0,6.9,6.9,5,9.41,4.41,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,38959,Vagner Love,1,264.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,Cruzeiro,0.0,True,0.0,1.0,1.0,5,9.49,-1.51,0.0,1,2015,1.0,0.0,0.0,1.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,37608,Cristian,1,264.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,Cruzeiro,0.0,True,0.0,4.6,4.6,4,10.76,1.76,0.0,1,2015,0.0,1.0,0.0,3.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,78891,Petros,1,264.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,Cruzeiro,0.0,True,0.0,3.6,3.6,4,10.76,0.76,0.0,1,2015,0.0,0.0,0.0,3.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,38067,Danilo,1,264.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Cruzeiro,0.0,True,0.0,0.1,0.1,4,11.15,-2.85,0.0,1,2015,1.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,60852,Uendel,1,264.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Cruzeiro,0.0,True,0.0,8.4,8.4,2,11.39,5.39,0.0,1,2015,0.0,0.0,0.0,2.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
1.0,38523,Edílson,1,264.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Cruzeiro,0.0,True,0.0,9.6,9.6,2,11.55,6.55,0.0,1,2015,0.0,0.0,0.0,2.0,Corinthians,1.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,50877,Pedro Ken,1,264.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,Cruzeiro,0.0,True,0.0,5.0,5.0,4,11.86,1.86,0.0,1,2015,1.0,0.0,0.0,3.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,68744,Emerson,1,264.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Cruzeiro,0.0,True,0.0,0.2,0.2,5,15.19,-3.81,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,45125,Tite,1,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzeiro,0.0,True,0.0,4.31,4.31,6,15.27,0.27,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,42234,Cássio,1,264.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,Cruzeiro,0.0,True,0.0,4.1,4.1,1,16.69,-0.31,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,82456,Rafhael Lucas,1,264.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,Cruzeiro,0.0,True,0.0,8.9,8.9,5,22.86,2.86,0.0,1,2015,0.0,1.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,85121,Robert ,0,266.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,Joinville,0.0,True,0.0,1.3,1.3,4,4.98,-0.02,0.0,1,2015,1.0,1.0,0.0,0.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,38440,Pierre,0,266.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joinville,0.0,True,0.0,1.4,1.4,4,5.85,-0.15,0.0,1,2015,1.0,0.0,0.0,1.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,37674,Wagner,0,266.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Joinville,0.0,True,0.0,-1.6,-1.6,4,8.23,-3.77,0.0,1,2015,0.0,0.0,0.0,1.0,Fluminense,1.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,71162,Vinícius,0,266.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Joinville,0.0,True,0.0,7.0,7.0,4,11.07,4.07,0.0,1,2015,0.0,1.0,0.0,0.0,Fluminense,1.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,62139,Ricardo Drubscky,0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joinville,0.0,True,0.0,6.67,6.67,6,11.61,3.61,0.0,1,2015,0.0,0.0,0.0,0.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,84791,Kenedy,0,266.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,Joinville,0.0,True,0.0,2.9,2.9,5,12.58,-0.42,0.0,1,2015,1.0,2.0,0.0,0.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,38431,Diego Cavalieri,0,266.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Joinville,0.0,True,0.0,5.0,5.0,1,12.66,1.66,0.0,1,2015,0.0,0.0,0.0,0.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,71892,Wellington Silva,0,266.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,Joinville,0.0,True,0.0,7.8,7.8,2,14.08,4.08,0.0,1,2015,1.0,0.0,0.0,2.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,72097,Giovanni,0,266.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,Joinville,0.0,True,0.0,10.2,10.2,2,14.4,6.4,0.0,1,2015,1.0,1.0,0.0,2.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,89256,Gerson,0,266.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,Joinville,0.0,True,0.0,2.5,2.5,4,16.22,-1.78,0.0,1,2015,0.0,1.0,0.0,1.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,68887,Gum,0,266.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Joinville,0.0,True,0.0,5.9,5.9,3,16.53,1.53,0.0,1,2015,0.0,0.0,0.0,1.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,62047,Jean,0,266.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joinville,0.0,True,0.0,4.2,4.2,4,19.14,-0.86,0.0,1,2015,0.0,3.0,0.0,1.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
1.0,80538,Marlon,0,266.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Joinville,0.0,True,0.0,11.7,11.7,4,20.33,6.33,0.0,1,2015,0.0,0.0,0.0,1.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,80370,Edson,0,266.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,Joinville,0.0,True,0.0,12.0,12.0,4,22.94,5.94,0.0,1,2015,1.0,0.0,1.0,5.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,38162,Fred,0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Joinville,0.0,True,0.0,3.1,3.1,5,26.18,-3.82,0.0,1,2015,2.0,2.0,0.0,0.0,Fluminense,0.0,317.0,,,,,,,,,,,,,,,,,,,,
0.0,86725,Rafael Silva,0,267.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Goiás,0.0,True,0.0,1.6,1.6,5,5.22,0.22,0.0,1,2015,0.0,0.0,0.0,1.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,61188,Gilberto,0,267.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,Goiás,0.0,True,0.0,2.3,2.3,5,5.77,0.77,0.0,1,2015,2.0,0.0,0.0,0.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,82499,Christiano ,0,267.0,0.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,Goiás,0.0,True,0.0,3.6,3.6,2,6.01,2.01,0.0,1,2015,1.0,0.0,0.0,0.0,Vasco,1.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,50454,Serginho,0,267.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,Goiás,0.0,True,0.0,0.0,0.0,4,6.33,-1.67,0.0,1,2015,0.0,0.0,0.0,0.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
